state,date,tweet_count,total_likes,sentiment_avg,total_retweets,total_followers,most_common_issues,most_common_derogatory_language,most_common_adjectives,top_10_user_screen_name,most_common_hashtag,top_hashtags,top_cleaned_tweet,states_code
Montana,2020-11-05,18,41.0,0.015505555555555557,11.0,35715.0,"covid, fraud",hate,better future,"['SatsangMovement', 'InBrokenCountry', 'BuddhistEthics', 'The_Grk', 'PatriceSeymour1', 'HeatherHume15', 'DZnutts1', 'corruptvoltaire', 'gumbo1968', 'MrsNickiHoerner']",#biden,['#biden'],['work on yourself then work on your community we can create a better future election democracy electionresults unity trump biden'],MT
Montana,2020-11-06,15,14.0,-0.12136,1.0,41087.0,climate,attack,trashy own,"['406Llama', 'roving_designer', 'RandyAW', 'Boot2DaHead', 'TheDailyClimate', 'InBrokenCountry', 'NathanWilletts1', 'hunter__pauley', 'MT4LtdGov', 'Lysstipeysi']",#trump,['#trump'],['the unitedstatesofamerica is currently presenting as a trashy reality show to the rest of the world some curiosity as to whats going to happen in the finale but also we have our own sht to worry about biden trump election americanmeltdown'],MT
Montana,2020-11-07,17,30.0,-0.039505882352941196,4.0,17458.0,corrupt,anger,fun extreme,"['Viperbiohazard', 'MrsNickiHoerner', '406Llama', '1darrahanne', 'DZnutts1', 'elianselmi', 'DeborahEunpu', 'ONEDGE247', 'DudikKimberly', 'oilpatchkid']",#trump,['#trump'],['while it is extremely fun to see trump loss this election but knowing that biden will be elected doesnt bring me any extreme happiness biden winning just means that nothing will drastically change in this country cause neolibs won again'],MT
Montana,2020-11-08,16,46.0,-0.12648125000000002,5.0,17625.0,"blacks, women",racism,economic national,"['406Llama', 'JOHNABRINK1', 'jackmc9984', '1darrahanne', 'DPurdyJackson', 'CodyBailey1996', 'elianselmi', 'AJawort', 'callmejakeaight', 'oilpatchkid']",#biden,['#biden'],['joe bidens economic plan should include wiping out the national debt by removing trump from the whitehouse on payperview'],MT
Nebraska,2020-10-15,21,10.0,-0.15894761904761903,5.0,21499.0,covid,emotional,afraid,"['mr_bluetown', 'realateachick', 'MelissaWorner1', 'RealZongkers', 'Ruether81', 'jmleeds', 'mharm23', 'thirkieldh', 'MockboyG']",#trump,['#trump'],['whats it called when you feel emotionally depleted and afraid of what you will learn tomorrow oh right  biden kamala trump wtf politics covid'],NE
Nebraska,2020-10-16,49,17.0,0.049044897959183674,9.0,28460.0,maga,anger,honest many trumptownhall clear same,"['jmleeds', 'realateachick', 'whitepatrick', 'deanohenson', 'salpie', 'MockboyG', 'JoshBauer1234', 'RealZongkers', 'dr_rlm', 'BrentFleer']",#biden,['#trump'],['who handled their townhall better donaldtrump trump joebiden biden nbctrumptownhall abctownhalljoebiden'],NE
Nebraska,2020-10-17,14,8.0,0.28405714285714284,2.0,14939.0,maga,confused,wonderful confused,"['salpie', 'whitepatrick', 'realpolitik201', 'DeplorableRyan5', 'deemaster', 'realateachick', 'mr_bluetown', '_bmk9_', '949to402', 'Darkjake']",#trump,['#trump'],['joebiden joewillleadus bidenharris trump maga kag magalandslidevictory kaglandslidevictory trumplandslidevictory trumptosaveamerica'],NE
Nebraska,2020-10-18,13,5.0,0.11151538461538461,1.0,19321.0,blacks,harm,little enough,"['salpie', 'writer6', 'DemirandaJC', 'TheThursdayJune', 'HeatherAkerberg', 'traitortrumpy', 'thirkieldh', 'realateachick', 'PZacsek', 'jkola13']",#biden,['#biden'],['coward if not biden is a vote for trump'],NE
Nebraska,2020-10-19,22,19.0,-0.11348636363636365,7.0,36026.0,maga,confused,wonderful confused,"['mr_bluetown', 'salpie', 'KevWarmhold', 'realpolitik201', 'BrianWolatz', 'Mccaslin_Deeann', 'sgleeper', 'thelawlessland', 'r2ph', 'whitepatrick']",#trump,['#trump'],['thats wonderful you really value your clients i am just really confused why does charge business clients  per month to use their app nebraskainabank dollarspermonth trump maga mpinnbankga'],NE
Nebraska,2020-10-20,34,25.0,0.051002941176470584,15.0,66458.0,maga,confused,wonderful confused,"['realpolitik201', 'mr_bluetown', 'writer6', 'MoreWhit', 'realateachick', 'salpie', 'chrisarnesonsho', 'Wendalldog1', 'TheGornShip', 'Rodgonzalez2006']","#nebraskainabank,#trump,#maga,#mpinnbankga","['#nebraskainabank,#trump,#maga,#mpinnbankga']",['thats wonderful you really value your clients i am just really confused why does charge business clients  per month to use their app nebraskainabank trump maga mpinnbankga'],NE
